YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	D-J-F	M-A-M	J-J-A	S-O-N	metANN
1937	2.93	5.53	4.43	9.73	15.33	18.53	20.63	19.53	14.93	10.43	5.13	1.23	3.70	9.83	19.56	10.16	10.81
1938	2.63	1.43	7.83	7.73	12.53	18.53	18.73	18.53	15.73	10.63	7.23	0.23	1.76	9.36	18.60	11.20	10.23
1939	3.43	2.53	3.33	10.53	10.93	17.33	18.43	18.53	14.73	9.73	7.43	1.23	2.06	8.26	18.10	10.63	9.76
1940	-2.77	2.33	6.03	9.63	13.83	16.83	18.23	17.93	15.73	10.03	6.53	-1.87	0.26	9.83	17.66	10.76	9.63
1941	-0.07	2.63	6.23	8.43	10.53	17.63	20.73	17.63	14.53	9.23	4.93	1.13	0.23	8.40	18.66	9.56	9.21
1942	-2.17	-1.77	6.53	10.13	14.43	18.03	20.13	19.83	17.53	12.03	4.43	1.33	-0.94	10.36	19.33	11.33	10.02
1943	1.83	3.53	7.13	11.03	15.13	17.13	20.03	20.73	16.33	12.43	4.83	2.53	2.23	11.10	19.30	11.20	10.96
1944	1.83	-0.17	4.03	11.63	14.73	17.43	19.73	22.83	15.13	9.13	5.73	1.42	1.40	10.13	20.00	10.00	10.38
1945	-2.88	4.52	7.22	12.22	15.92	20.52	21.82	18.72	16.82	10.72	4.42	2.42	1.02	11.79	20.35	10.65	10.95
1946	-0.18	5.42	7.02	12.32	14.82	17.22	20.92	19.02	15.82	9.72	5.22	0.82	2.55	11.39	19.05	10.25	10.81
1947	-1.08	0.72	6.72	12.72	16.12	19.52	21.52	21.72	17.92	11.02	7.52	2.62	0.15	11.85	20.92	12.15	11.27
1948	4.12	2.92	9.42	10.12	15.02	16.42	17.22	18.72	14.62	11.12	5.42	1.52	3.22	11.52	17.45	10.39	10.64
1949	1.62	2.32	4.02	12.42	12.42	17.72	21.62	20.52	18.62	11.82	5.32	4.32	1.82	9.62	19.95	11.92	10.83
1950	0.72	4.32	6.52	8.42	15.52	20.12	21.82	19.12	15.02	9.82	6.32	-0.28	3.12	10.15	20.35	10.39	11.00
1951	2.22	3.12	5.02	9.52	12.72	16.82	19.52	18.72	15.92	10.02	6.42	0.82	1.69	9.09	18.35	10.79	9.98
1952	0.12	-0.08	7.12	11.22	15.02	19.42	22.92	19.52	12.72	10.22	4.22	2.12	0.29	11.12	20.62	9.05	10.27
1953	-1.28	0.22	6.22	10.42	15.62	16.02	20.02	19.12	16.32	11.72	4.12	3.12	0.35	10.75	18.39	10.72	10.05
1954	-0.48	0.72	6.62	7.92	12.92	18.22	17.82	17.72	15.92	10.32	6.62	3.72	1.12	9.15	17.92	10.95	9.79
1955	2.42	2.22	4.12	10.42	13.72	17.32	19.52	18.72	15.02	9.42	4.32	4.92	2.79	9.42	18.52	9.59	10.08
1956	3.32	-6.58	5.42	8.02	14.82	16.02	19.02	16.82	16.12	8.89	4.09	2.69	0.55	9.42	17.29	9.70	9.24
1957	-0.31	5.69	8.89	9.79	11.79	17.19	19.39	17.89	15.09	9.69	6.29	1.89	2.69	10.16	18.16	10.36	10.34
1958	1.39	5.29	3.59	7.39	15.69	16.49	19.49	19.19	17.39	9.39	5.39	4.29	2.86	8.89	18.39	10.72	10.21
1959	2.29	2.49	8.09	10.29	14.79	17.99	21.69	18.89	17.09	10.29	4.09	4.19	3.02	11.06	19.52	10.49	11.02
1960	1.49	3.99	7.29	9.99	15.49	18.79	17.89	17.99	13.59	9.89	7.49	2.38	3.22	10.92	18.22	10.32	10.67
1961	1.58	5.74	7.84	12.44	13.34	18.14	18.44	18.14	18.44	11.34	5.44	3.74	3.23	11.21	18.24	11.74	11.11
1962	3.54	2.04	3.54	9.44	12.54	16.84	18.84	21.04	15.64	10.74	3.84	-0.36	3.11	8.51	18.91	10.07	10.15
1963	-3.36	-1.86	4.84	10.64	13.44	16.74	20.34	17.14	15.34	9.64	8.24	-0.16	-1.86	9.64	18.07	11.07	9.23
1964	-0.76	3.94	5.24	10.54	15.34	18.44	21.64	18.74	15.84	9.64	6.64	1.34	1.01	10.37	19.61	10.71	10.42
1965	1.34	-0.36	4.74	8.44	13.64	17.84	18.04	17.44	13.14	10.44	5.84	4.24	0.77	8.94	17.77	9.81	9.32
1966	0.44	6.24	5.04	11.04	14.74	19.04	18.14	18.14	16.44	12.84	3.84	3.24	3.64	10.27	18.44	11.04	10.85
1967	1.44	3.64	7.24	8.84	13.24	16.84	21.14	18.74	14.94	12.44	5.94	0.64	2.77	9.77	18.91	11.11	10.64
1968	0.24	3.44	6.14	10.54	13.04	17.24	19.14	16.84	14.24	12.34	5.44	2.42	1.44	9.91	17.74	10.67	9.94
1969	2.02	0.42	5.82	9.52	14.52	15.22	20.22	18.52	15.82	10.62	6.22	-0.89	1.62	9.95	17.99	10.89	10.11
1970	1.21	3.61	3.41	7.41	13.01	18.61	19.61	19.31	16.01	9.51	6.91	1.89	1.31	7.94	19.18	10.81	9.81
1971	-0.51	2.39	2.09	11.59	14.69	15.99	20.99	20.49	14.69	10.99	4.39	1.97	1.26	9.46	19.16	10.02	9.97
1972	1.97	4.17	6.87	9.07	13.27	15.97	18.97	18.27	12.37	8.87	6.77	1.95	2.70	9.74	17.74	9.34	9.88
1973	1.05	1.75	4.75	7.15	14.55	17.75	18.95	20.05	15.85	9.25	4.85	1.54	1.58	8.82	18.92	9.98	9.83
